palavra	classe	significado	notas
mi	pron	eu
tu	pron	tu/você
si	pron	ele/ela
nupi	pron	nós
mupi	pron	vós
kupi	pron	eles/elas
ni	part	de/posse
mu	part	agente passivo
pa	part	negação
ku	part	pergunta (fim de frase)
na	part	vocativo (pré-nominal)
sa	part/adv	comparativo/mais (part: mais que; adv: intensificador)
sami	part	superlativo (o mais)
tatu	part	recíproco (pré-verbal)
ta	part	relativo (que/qual)
-ku	suf	reflexivo (em pronome)
-ti	suf	imperativo (em verbo)
ku-	pref	ordinal (em numeral)
-ta	suf	passado (em verbo)
-ka	suf	futuro (em verbo)
-sa	suf	habitual (em verbo)
-ma	suf	progressivo (em verbo)
-pa	suf	perfectivo (em verbo)
-n	suf	plural (em substantivo/adjetivo)
i	conj	e
a	conj	ou
asi	conj	se (condicional)
miku	conj	porque
upa	conj	quando (subord.)
pamu	conj	enquanto
mata	dem	este/esta
mati	dem	esse/essa
maku	dem	aquele/aquela
muta	dem	aqui
muki	dem	aí
muna	dem	ali
nima	int	quem
nipi	int	o que
nika	int	onde
niku	int	quando
napa	int	quanto
nima-pa	int	como (composto)
nima-tu	int	por que (composto)
ipa	verbo	ser/estar (cópula)
tani	num	um
pi	num	dois
ti	num	três
pu	num	quatro
ka	num	cinco
ma	num	seis
nuku	num	sete
nu	num	oito
pina	num	nove
nuna	num	dez
pakuna	num	cem
tikuna	num	mil
kupa	quant	todo/tudo
matu	quant	muitos
muti	quant	alguns
tuma	pron	outro
mati-mati	subst	pessoa (humano)
papu	subst	homem (macho)
mumi	subst	mulher
papi	subst	pai
mama	subst	mãe
kuni	subst	filho/cria
tupa	subst	cônjuge
namu	subst	pele
kunu	subst	sangue
tipu	subst	osso
pupa	subst	gordura
kaki	subst	ovo
kuki	subst	chifre
punu	subst	cauda
tuku	subst	pluma/pena
tutu	subst	cabelo
miti	subst	cabeça
muni	subst	orelha
pati	subst	olho
nina	subst	nariz
munu	subst	boca
kipa	subst	dente
pipa	subst	língua (anatômica)
kiti	subst	unha/garra
puta	subst	pé
tumi	subst	joelho
kanu	subst	mão
tuna	subst	barriga
miki	subst	pescoço
muma	subst	seio
pumu	subst	coração
tuni	subst	fígado
puti	subst	corpo
natu	subst	animal
tuka	subst	peixe
piti	subst	ave
kani	subst	cachorro
kumi	subst	cobra
tini	subst	verme
tipa	subst	árvore
puma	subst	floresta
mutu	subst	graveto
tati	subst	fruta
kiki	subst	semente
papa	subst	folha
naku	subst	raiz
minu	subst	casca
kipi	subst	flor
kapu	subst	grama
kuka	subst	corda
manu	subst	carne
kama	subst	casa
tana	subst	terra/chão
mina	subst	água
puka	subst	fogo
nita	subst	ar/vento
tunu	subst	sol
pinu	subst	lua
kati	subst	estrela
nupa	subst	dia
muta-pi	subst	noite (composto)
mapu	subst	pedra
nani	subst	caminho
tama	subst	palavra/voz
nimi	subst	nome
kapa	subst	tempo
nuki	subst	mundo
pana	subst	luz
tiku	subst	sombra/escuro
muta-ka	subst	verdade (composto)
tapi	subst	idioma Tapi (nome próprio)
tupi	subst	rio
sapu	subst	mar
masu	subst	chuva
musi	subst	neve
satu	subst	nuvem
sani	subst	montanha
saka	subst	sal
puki	subst	areia
kasu	subst	cinza
